"species","regime","depth","atom13C"
"Halimeda opuntia","N1",30,"NA"
"Turfalgae","N1",30,1.2
"Red mat","N1",30,1.28
"Red hairy","N1",30,1.618
"Black balls","N1",30,1.305
"Orange mat","N1",30,1.547
"Poritis asteriodes","N1",30,"NA"
"Madracis mirabilis","N1",30,"NA"
"Aka","N1",30,1.085
"CCA","N1",30,1.242
"Lobophora variegata","N2",30,1.242
"Dictyota pinnatifida","N2",30,1.418
"Halimeda opuntia","N2",30,"NA"
"Turfalgae","N2",30,"NA"
"Red mat","N2",30,1.241
"Red hairy","N2",30,1.455
"Black balls","N2",30,1.25
"Orange mat","N2",30,1.314
"Poritis asteriodes","N2",30,1.24
"Madracis mirabilis","N2",30,"NA"
"Aka","N2",30,1.083
"CCA","N2",30,1.225
"Lobophora variegata","N3",30,1.23
"Dictyota pinnatifida","N3",30,1.47
"Halimeda opuntia","N3",30,"NA"
"Turfalgae","N3",30,1.249
"Red mat","N3",30,1.286
"Red hairy","N3",30,1.738
"Black balls","N3",30,1.716
"Orange mat","N3",30,1.405
"Poritis asteriodes","N3",30,1.236
"Madracis mirabilis","N3",30,"NA"
"Aka","N3",30,1.084
"CCA","N3",30,1.209
"Lobophora variegata","C",30,1.09
"Dictyota pinnatifida","C",30,1.088
"Halimeda opuntia","C",30,"NA"
"Turfalgae","C",30,1.047
"Red mat","C",30,1.096
"Red hairy","C",30,1.083
"Black balls","C",30,1.091
"Orange mat","C",30,1.094
"Poritis asteriodes","C",30,1.083
"Madracis mirabilis","C",30,"NA"
"Aka","C",30,1.083
"CCA","C",30,1.091
